date,strategy_nav,benchmark_nav,strategy_drawdown,benchmark_drawdown
2018-01-31,0.9958006788898572,1.0421080860862706,0.0,0.0
2018-02-28,0.9985184779575939,1.0245069793048327,0.0,-0.016889905199316102
2018-03-31,1.0021070851172762,1.0341775899317205,0.0,-0.007610051452852429
2018-04-30,0.9994215822097259,1.0316430150407074,-0.0026798562223876443,-0.01004221268915173
2018-05-31,0.9938782349621077,1.0225486540483755,-0.008211547725166968,-0.01876910111248853
2018-06-30,0.9892861201036502,0.9944403450996676,-0.01279400695198707,-0.0457416477456033
2018-07-31,0.9809805975805154,0.981846288609699,-0.02108206582960981,-0.05782682073112977
2018-08-31,0.9842270154043731,0.9714651418771297,-0.017842474101268935,-0.06778850020677485
2018-09-30,0.9838170957773131,0.9739812934016836,-0.01825153180892103,-0.06537401791060193
2018-10-31,0.9801012324410423,0.9606419211546425,-0.02195958196788772,-0.07817439094785406
2018-11-30,0.9865597657828271,0.956172485474798,-0.015514628691233767,-0.08246323174999182
2018-12-31,1.0153055013649264,0.962210468210258,0.0,-0.07666922360815298
2019-01-31,1.0301140796934694,1.0073424759925438,0.0,-0.033360848608604665
2019-02-28,1.0309500334772295,1.0255671329557232,0.0,-0.0158725887951493
2019-03-31,1.026989938009379,1.0288601748271733,-0.0038412098930670213,-0.012712607680505639
2019-04-30,1.0277596104404576,1.031185924253318,-0.003094643710336853,-0.010480833973730896
2019-05-31,1.0087704083158515,1.0074048251176286,-0.0215137731617987,-0.033301018802160076
2019-06-30,1.030462983210781,1.0535629937721516,-0.00047242858589924275,0.0
2019-07-31,1.0312757410149533,1.0537679538070042,0.0,0.0
2019-08-31,1.0362498782594487,1.0610711488248301,0.0,0.0
2019-09-30,1.0260656309721776,1.0516922749549864,-0.009827984061505646,-0.008839062187517843
2019-10-31,1.0351650377612784,1.0690441973312093,-0.001046890832925751,0.0
2019-11-30,1.0341831192273763,1.0662103644199896,-0.0019944600963851533,-0.0026508098713730055
2019-12-31,1.028666083945659,1.096883356122405,-0.00731849959444919,0.0
2020-01-31,1.0051675095814725,1.0931126336312493,-0.029995051705274167,-0.003437669529862797
2020-02-29,1.0106350012737344,1.0947545395986078,-0.024718822673097662,-0.0019407866040768162
2020-03-31,1.0144118080781614,1.0366757071883104,-0.021074135340761524,-0.05488974611387554
2020-04-30,1.0415731772806907,1.0614639242982518,0.0,-0.032290973900237274
2020-05-31,1.0325633996467383,1.0869560887179415,-0.00865016287907383,-0.009050431250554603
2020-06-30,1.0423091986328599,1.1162591909383175,0.0,0.0
2020-07-31,1.0743942003039049,1.1782786154242593,0.0,0.0
2020-08-31,1.0760575400739856,1.198386611243718,0.0,0.0
2020-09-30,1.078589700898549,1.1803891724205189,0.0,-0.015018057323354927
2020-10-31,1.0829932556905228,1.1823014050312466,0.0,-0.013422384780966246
2020-11-30,1.082123616183758,1.2006859236024392,-0.0008029962349215269,0.0
2020-12-31,1.081355500661648,1.248597650717218,-0.0015122485945959774,0.0
2021-01-31,1.0817564203731562,1.24771821780598,-0.0011420526497905037,-0.0007043365096297549
2021-02-28,1.0830413873604965,1.230782305841926,0.0,-0.014268283193596076
2021-03-31,1.0829082644261177,1.2182669168885552,-0.0001229158330720015,-0.02429183957797809
2021-04-30,1.078570624350182,1.2521668740718257,-0.0041279706043462205,0.0
2021-05-31,1.072976009949041,1.3037591617187827,-0.009293622135702506,0.0
2021-06-30,1.0737509385620714,1.2681703673960978,-0.008578110593785437,-0.027297061733217
2021-07-31,1.0695021390943802,1.278144707005861,-0.012501136543925706,-0.019646615314406368
2021-08-31,1.0705389585892588,1.2802686140331807,-0.011543814407413922,-0.018017551381678265
2021-09-30,1.0808419767158606,1.2715744421506285,-0.0020307724804461413,-0.024686092733357423
