date,CH_EQUITY,CH_BOND,US_EQUITY,GOLD,OIL,CREDIT,CASH
2018-01-31,0.09506940375426032,0.04095147555573542,0.05635908010013324,0.03234937283169237,0.08076596959772098,-0.003405088458500183,0.001313417661110261
2018-02-28,-0.07887006421214371,0.004835303112552536,-0.036360406538155754,-0.020759902030566435,-0.046995352711094895,-0.005412614514903602,0.0008314653424006391
2018-03-31,-0.0006388910782175738,0.014810952550969203,-0.027410498941469852,0.006320007324218668,0.05820535761438017,0.0014304528669275562,0.0013010809904281384
2018-04-30,-0.0473146289966937,0.0057085192119818995,0.0051681237854184214,-0.009539745360543916,0.054239880051231815,-0.0011123341083315585,0.0010392641695378124
2018-05-31,-0.0067113571445254205,-0.01308860582264959,0.024309143163524283,-0.011959209467577336,-0.018115941778598432,0.0036926612191607866,0.0014983041184515322
2018-06-30,-0.10371621585181301,-0.030277603643125928,0.005750762745823534,-0.03614944763120931,0.1114391297141335,-0.00020477998135148834,0.0014870905177148952
2018-07-31,-0.0011308426233719304,-0.013442657388126555,0.03704665141193719,-0.022418909632539674,-0.05179287283614564,0.0028866462505727775,0.0013886018493891594
2018-08-31,-0.06641509094492859,-0.00289367108073757,0.03191980395364724,-0.021381117106768266,0.030112066751860622,0.005386316117807821,0.001585757163311774
2018-09-30,0.024656312079558207,-0.0021486134166310844,0.0059455122463720755,-0.006607347245927042,0.055064610300214145,-0.0008442931916710084,0.0013995730850351329
2018-10-31,-0.08362911977766163,-0.006477447508408285,-0.0691043914495072,0.02119545356837582,-0.11146910083016359,-0.0007178756710346512,0.0017061139080425392
2018-11-30,0.008179116091037608,0.009395457135029872,0.018549504950180484,0.003386881324189961,-0.22189995852657807,-0.0007718733658933496,0.0018590872458876806
2018-12-31,-0.052002101965312075,0.013116882594495838,-0.08804869494597256,0.04942010593064916,-0.09972038587815368,0.008306216112831555,0.0018279520460129373
2019-01-31,0.10579123187888251,0.033951325115151976,0.08006570693867898,0.028865979381443196,0.17494829821455582,0.013343598401242884,0.0017490541677547267
2019-02-28,0.13237107116934577,0.005414811330430869,0.03241587040898741,-0.006092201492829408,0.052863383932125974,0.0025248430390769627,0.0018478978418796643
2019-03-31,0.046249100960542355,-0.0025040227788281078,0.01810084103015197,-0.01596899557748621,0.04602512129819747,0.01172046730839349,0.0017500956130964695
2019-04-30,0.009397866658509724,-0.0053069742528623065,0.04085192849842767,-0.006638842503124187,0.06319999694824219,0.002325702062619728,0.0019251500054975335
