date,CH_EQUITY,CH_BOND,US_EQUITY,GOLD,OIL,CREDIT,CASH
2018-01-31,0.04285714285714286,-0.13333333333333333,0.05,-0.3,0.05,-0.05,0.3738095238095238
2018-02-28,0.014285714285714285,-0.13333333333333333,0.016666666666666666,-0.3,0.03,0.0,0.5057142857142857
2018-03-31,-0.04285714285714286,0.13333333333333333,-0.016666666666666666,0.0,0.010000000000000002,0.0,0.7971428571428572
2018-04-30,-0.014285714285714285,0.0,-0.05,0.3,-0.010000000000000002,0.0,0.6257142857142857
2018-05-31,-0.04285714285714286,0.13333333333333333,-0.05,0.3,-0.010000000000000002,0.0,0.4638095238095239
2018-06-30,-0.04285714285714286,0.0,-0.016666666666666666,0.3,0.010000000000000002,0.0,0.6304761904761904
2018-07-31,-0.1,0.13333333333333333,-0.05,0.3,-0.03,0.05,0.33666666666666667
2018-08-31,-0.04285714285714286,-0.13333333333333333,-0.016666666666666666,0.0,-0.010000000000000002,0.05,0.7471428571428571
2018-09-30,-0.04285714285714286,-0.13333333333333333,-0.016666666666666666,0.0,-0.010000000000000002,0.05,0.7471428571428571
2018-10-31,-0.04285714285714286,-0.13333333333333333,0.016666666666666666,-0.3,0.010000000000000002,0.05,0.4471428571428572
2018-11-30,-0.07142857142857144,0.0,-0.05,0.3,-0.03,0.05,0.49857142857142855
2018-12-31,-0.04285714285714286,0.13333333333333333,-0.05,0.3,-0.05,0.05,0.3738095238095238
2019-01-31,0.04285714285714286,0.13333333333333333,-0.016666666666666666,0.3,-0.010000000000000002,-0.05,0.4471428571428572
2019-02-28,0.014285714285714285,0.26666666666666666,-0.016666666666666666,0.3,-0.010000000000000002,-0.05,0.34238095238095234
2019-03-31,0.04285714285714286,0.13333333333333333,-0.016666666666666666,0.3,-0.010000000000000002,-0.05,0.4471428571428572
2019-04-30,0.04285714285714286,0.13333333333333333,0.016666666666666666,0.0,-0.010000000000000002,-0.05,0.7471428571428571
2019-05-31,0.04285714285714286,-0.13333333333333333,0.05,-0.3,0.05,-0.05,0.3738095238095238
2019-06-30,0.014285714285714285,-0.26666666666666666,-0.016666666666666666,0.3,0.010000000000000002,0.0,0.3923809523809524
2019-07-31,0.014285714285714285,-0.26666666666666666,0.016666666666666666,0.0,0.03,0.0,0.6723809523809524
2019-08-31,-0.014285714285714285,-0.13333333333333333,0.016666666666666666,0.0,0.010000000000000002,0.0,0.8257142857142857
2019-09-30,-0.014285714285714285,0.13333333333333333,-0.016666666666666666,0.3,-0.010000000000000002,-0.05,0.47571428571428565
2019-10-31,-0.014285714285714285,0.13333333333333333,-0.016666666666666666,0.3,-0.010000000000000002,-0.05,0.47571428571428565
2019-11-30,0.04285714285714286,-0.13333333333333333,0.016666666666666666,0.0,0.010000000000000002,0.0,0.7971428571428572
2019-12-31,0.04285714285714286,-0.26666666666666666,0.016666666666666666,-0.3,0.03,0.0,0.3438095238095238
2020-01-31,0.04285714285714286,-0.26666666666666666,0.016666666666666666,-0.3,0.03,0.0,0.3438095238095238
2020-02-29,0.04285714285714286,0.13333333333333333,-0.016666666666666666,0.3,-0.010000000000000002,-0.05,0.4471428571428572
2020-03-31,0.04285714285714286,0.13333333333333333,-0.016666666666666666,0.3,-0.010000000000000002,-0.05,0.4471428571428572
2020-04-30,-0.014285714285714285,0.13333333333333333,-0.016666666666666666,0.3,-0.010000000000000002,0.0,0.5257142857142857
2020-05-31,-0.04285714285714286,0.26666666666666666,-0.016666666666666666,0.3,-0.03,0.0,0.3438095238095238
2020-06-30,0.04285714285714286,-0.13333333333333333,-0.016666666666666666,0.3,-0.010000000000000002,0.0,0.4971428571428572
2020-07-31,0.014285714285714285,0.13333333333333333,-0.05,0.3,-0.05,0.0,0.45238095238095233
2020-08-31,0.04285714285714286,0.13333333333333333,-0.016666666666666666,0.3,-0.010000000000000002,-0.05,0.4471428571428572
2020-09-30,0.014285714285714285,0.13333333333333333,-0.016666666666666666,0.0,-0.010000000000000002,0.0,0.8257142857142857
2020-10-31,0.014285714285714285,0.13333333333333333,-0.016666666666666666,0.0,-0.010000000000000002,0.0,0.8257142857142857
2020-11-30,-0.014285714285714285,0.0,-0.016666666666666666,0.0,0.010000000000000002,0.0,0.959047619047619
2020-12-31,-0.014285714285714285,0.0,-0.016666666666666666,0.0,0.010000000000000002,0.0,0.959047619047619
2021-01-31,-0.014285714285714285,0.0,-0.016666666666666666,0.0,0.010000000000000002,0.0,0.959047619047619
2021-02-28,-0.014285714285714285,0.0,-0.016666666666666666,0.0,0.010000000000000002,0.0,0.959047619047619
2021-03-31,-0.014285714285714285,0.0,-0.016666666666666666,0.0,0.010000000000000002,0.0,0.959047619047619
2021-04-30,-0.04285714285714286,-0.13333333333333333,-0.016666666666666666,0.0,0.010000000000000002,0.05,0.7471428571428571
2021-05-31,-0.04285714285714286,-0.13333333333333333,-0.016666666666666666,0.0,0.010000000000000002,0.05,0.7471428571428571
2021-06-30,-0.014285714285714285,0.0,-0.016666666666666666,0.0,0.010000000000000002,0.0,0.959047619047619
2021-07-31,-0.014285714285714285,0.13333333333333333,0.05,-0.3,0.03,-0.05,0.4223809523809523
2021-08-31,-0.04285714285714286,0.26666666666666666,0.016666666666666666,0.0,0.010000000000000002,-0.05,0.6138095238095238
2021-09-30,-0.04285714285714286,0.0,0.05,-0.3,0.03,0.0,0.5771428571428572
2021-10-31,-0.1,0.13333333333333333,-0.05,0.3,-0.03,0.05,0.33666666666666667
2021-11-30,-0.04285714285714286,0.13333333333333333,0.016666666666666666,-0.3,0.010000000000000002,0.0,0.4971428571428572
2021-12-31,-0.04285714285714286,0.26666666666666666,-0.016666666666666666,0.3,-0.010000000000000002,-0.05,0.31380952380952376
2022-01-31,-0.04285714285714286,0.26666666666666666,0.016666666666666666,0.0,0.010000000000000002,-0.05,0.6138095238095238
2022-02-28,-0.07142857142857144,0.26666666666666666,-0.05,0.3,-0.03,0.0,0.2819047619047619
2022-03-31,-0.07142857142857144,0.26666666666666666,-0.05,0.3,-0.03,0.0,0.2819047619047619
2022-04-30,-0.07142857142857144,0.26666666666666666,-0.05,0.3,-0.03,0.0,0.2819047619047619
2022-05-31,-0.1,0.13333333333333333,-0.05,0.3,-0.03,0.05,0.33666666666666667
2022-06-30,-0.07142857142857144,0.0,-0.05,0.3,-0.03,0.05,0.49857142857142855
2022-07-31,-0.1,0.13333333333333333,-0.05,0.3,-0.03,0.05,0.33666666666666667
2022-08-31,-0.07142857142857144,0.0,-0.05,0.3,-0.03,0.05,0.49857142857142855
2022-09-30,-0.07142857142857144,0.0,-0.05,0.3,-0.03,0.05,0.49857142857142855
2022-10-31,-0.07142857142857144,0.0,-0.05,0.3,-0.05,0.1,0.4285714285714286
2022-11-30,-0.07142857142857144,0.0,-0.05,0.3,-0.05,0.1,0.4285714285714286
2022-12-31,-0.04285714285714286,0.13333333333333333,-0.05,0.3,-0.05,0.05,0.3738095238095238
2023-01-31,0.014285714285714285,0.13333333333333333,-0.05,0.3,-0.03,0.0,0.47238095238095235
2023-02-28,0.1,-0.13333333333333333,0.016666666666666666,0.0,0.010000000000000002,-0.05,0.69
2023-03-31,0.04285714285714286,0.0,-0.016666666666666666,0.0,-0.010000000000000002,0.0,0.9304761904761905
2023-04-30,0.1,-0.13333333333333333,0.05,-0.3,0.05,-0.1,0.2666666666666667
2023-05-31,0.014285714285714285,-0.13333333333333333,0.016666666666666666,-0.3,0.010000000000000002,0.05,0.47571428571428565
2023-06-30,0.014285714285714285,0.0,0.016666666666666666,0.0,0.010000000000000002,0.0,0.959047619047619
2023-07-31,0.014285714285714285,-0.13333333333333333,0.016666666666666666,-0.3,0.010000000000000002,0.05,0.47571428571428565
2023-08-31,-0.014285714285714285,-0.26666666666666666,0.016666666666666666,-0.3,0.03,0.05,0.3223809523809523
2023-09-30,-0.014285714285714285,-0.26666666666666666,0.016666666666666666,-0.3,0.03,0.05,0.3223809523809523
2023-10-31,-0.04285714285714286,-0.13333333333333333,-0.016666666666666666,0.0,-0.010000000000000002,0.05,0.7471428571428571
2023-11-30,-0.04285714285714286,-0.13333333333333333,-0.016666666666666666,0.0,-0.010000000000000002,0.05,0.7471428571428571
2023-12-31,0.014285714285714285,-0.13333333333333333,0.016666666666666666,-0.3,0.03,0.0,0.5057142857142857
2024-01-31,0.04285714285714286,-0.13333333333333333,0.05,-0.3,0.05,-0.05,0.3738095238095238
2024-02-29,0.04285714285714286,0.13333333333333333,0.016666666666666666,0.0,-0.010000000000000002,-0.05,0.7471428571428571
2024-03-31,0.04285714285714286,-0.13333333333333333,0.05,-0.3,0.03,0.0,0.4438095238095239
2024-04-30,0.014285714285714285,-0.13333333333333333,0.016666666666666666,-0.3,0.010000000000000002,0.05,0.47571428571428565
2024-05-31,0.04285714285714286,-0.26666666666666666,0.016666666666666666,-0.3,0.03,0.0,0.3438095238095238
2024-06-30,0.014285714285714285,-0.13333333333333333,0.016666666666666666,-0.3,0.010000000000000002,0.0,0.5257142857142857
2024-07-31,-0.04285714285714286,-0.13333333333333333,0.016666666666666666,-0.3,0.010000000000000002,0.05,0.4471428571428572
2024-08-31,0.07142857142857144,0.0,0.05,-0.3,0.03,-0.1,0.4485714285714286
2024-09-30,0.07142857142857144,0.0,0.016666666666666666,0.0,0.03,-0.1,0.7819047619047619
2024-10-31,0.07142857142857144,0.0,0.016666666666666666,0.0,0.010000000000000002,-0.05,0.8519047619047619
2024-11-30,0.04285714285714286,0.0,-0.05,0.3,-0.03,0.0,0.5771428571428572
2024-12-31,0.014285714285714285,-0.13333333333333333,-0.016666666666666666,0.0,-0.03,0.05,0.7557142857142858
2025-01-31,0.014285714285714285,-0.13333333333333333,-0.016666666666666666,0.0,-0.03,0.05,0.7557142857142858
2025-02-28,0.014285714285714285,-0.13333333333333333,-0.016666666666666666,0.0,-0.03,0.05,0.7557142857142858
2025-03-31,0.04285714285714286,-0.13333333333333333,0.016666666666666666,0.0,0.010000000000000002,-0.05,0.7471428571428571
2025-04-30,0.014285714285714285,0.26666666666666666,-0.016666666666666666,0.3,-0.010000000000000002,-0.1,0.2923809523809524
2025-05-31,0.014285714285714285,0.0,-0.016666666666666666,0.3,-0.010000000000000002,0.0,0.6590476190476191
2025-06-30,0.04285714285714286,0.0,-0.016666666666666666,0.0,-0.010000000000000002,0.0,0.9304761904761905
2025-07-31,0.07142857142857144,-0.13333333333333333,-0.016666666666666666,0.0,-0.010000000000000002,0.0,0.7685714285714286
2025-08-31,0.07142857142857144,-0.13333333333333333,-0.016666666666666666,0.0,-0.010000000000000002,0.0,0.7685714285714286
2025-09-30,0.1,-0.13333333333333333,0.016666666666666666,0.0,0.010000000000000002,-0.05,0.69
2025-10-31,0.1,-0.13333333333333333,0.016666666666666666,0.0,0.010000000000000002,-0.05,0.69
2025-11-30,0.07142857142857144,0.0,0.05,-0.3,0.03,-0.1,0.4485714285714286
2025-12-31,0.1,-0.13333333333333333,0.05,-0.3,0.03,-0.05,0.33666666666666667
2026-01-31,0.04285714285714286,0.13333333333333333,0.016666666666666666,0.0,-0.010000000000000002,-0.05,0.7471428571428571
2026-02-28,0.04285714285714286,0.0,0.016666666666666666,-0.3,0.010000000000000002,0.0,0.6304761904761904
2026-03-31,0.04285714285714286,0.13333333333333333,-0.016666666666666666,0.3,0.010000000000000002,-0.1,0.39714285714285724
2026-04-30,-0.014285714285714285,0.13333333333333333,-0.016666666666666666,0.3,-0.010000000000000002,-0.05,0.47571428571428565
2026-05-31,0.04285714285714286,-0.13333333333333333,0.05,-0.3,0.05,-0.05,0.3738095238095238
2026-06-30,0.014285714285714285,-0.13333333333333333,0.016666666666666666,-0.3,0.03,0.0,0.5057142857142857
2026-07-31,0.014285714285714285,0.0,0.05,-0.3,0.03,-0.05,0.5557142857142858
2026-08-31,-0.014285714285714285,0.0,0.016666666666666666,-0.3,0.010000000000000002,0.0,0.6590476190476191
