date,gross_return,transaction_cost,strategy_return,benchmark_return,excess_return,turnover
2018-01-31,-0.0035731306339523393,0.0006261904761904761,-0.004199321110142816,0.042108086086270605,-0.04630740719641342,0.6261904761904762
2018-02-28,0.0028611648692251817,0.00013190476190476187,0.0027292601073204198,-0.01688990519931618,0.0196191653066366,0.13190476190476189
2018-03-31,0.004078217362924329,0.00048428571428571433,0.0035939316486386145,0.009439282330169796,-0.005845350681531181,0.4842857142857143
2018-04-30,-0.002336522889054273,0.00034333333333333335,-0.0026798562223876066,-0.0024508120420404294,-0.00022904418034717716,0.3433333333333334
2018-05-31,-0.005384650712074291,0.00016190476190476182,-0.005546555473979053,-0.00881541469262321,0.0032688592186441564,0.16190476190476183
2018-06-30,-0.0044437331941196145,0.0001766666666666666,-0.0046203998607862815,-0.02748848070693177,0.022868080846145486,0.1766666666666666
2018-07-31,-0.008091661062864419,0.00030380952380952374,-0.008395470586673942,-0.012664466553502863,0.00426899596682892,0.30380952380952375
2018-08-31,0.0038531693948044574,0.0005438095238095238,0.0033093598709949337,-0.010573087511762192,0.013882447382757125,0.5438095238095237
2018-09-30,-0.0004164889000649464,0.0,-0.0004164889000649464,0.0025900584756874847,-0.003006547375752431,0.0
2018-10-31,-0.003450319271288469,0.0003266666666666667,-0.0037769859379551355,-0.013695717091703734,0.009918731153748599,0.32666666666666666
2018-11-30,0.007049659443340525,0.00045999999999999996,0.006589659443340524,-0.004652551155036517,0.011242210598377041,0.45999999999999996
2018-12-31,0.029290681701974578,0.0001533333333333333,0.029137348368641246,0.0063147421905387175,0.022822606178102528,0.15333333333333332
2019-01-31,0.014751532827468066,0.00016619047619047622,0.01458534235127759,0.046904507146168034,-0.03231916479489044,0.16619047619047622
2019-02-28,0.0009448490675992025,0.00013333333333333334,0.0008115157342658691,0.018091818222221466,-0.017280302487955597,0.13333333333333336
2019-03-31,-0.003707876559733604,0.00013333333333333334,-0.003841209893066937,0.003210947158533951,-0.007052157051600888,0.13333333333333336
2019-04-30,0.0010661116247842237,0.00031666666666666665,0.000749444958117557,0.0022605106923642595,-0.0015110657342467025,0.31666666666666665
2019-05-31,-0.017959640372163296,0.0005166666666666666,-0.01847630703882996,-0.023061892696905433,0.004585585658075472,0.5166666666666666
2019-06-30,0.021972547671436672,0.0004685714285714286,0.021503976242865243,0.04581888780325544,-0.024314911560390194,0.4685714285714286
2019-07-31,0.0011053973803502625,0.00031666666666666665,0.0007887307136835958,0.00019453989563413817,0.0005941908180494577,0.31666666666666665
2019-08-31,0.004990904466511708,0.0001676190476190476,0.00482328541889266,0.0069305533456784415,-0.0021072679267857813,0.1676190476190476
2019-09-30,-0.009317984061505755,0.0005099999999999999,-0.009827984061505755,-0.00883906218751798,-0.0009889218739877748,0.51
2019-10-31,0.008868250250697172,0.0,0.008868250250697172,0.01649904899887705,-0.007630798748179877,0.0
2019-11-30,-0.00042427659035477517,0.0005242857142857143,-0.0009485623046404895,-0.002650809871372971,0.0017022475667324813,0.5242857142857144
2019-12-31,-0.004881345969727585,0.0004533333333333333,-0.0053346793030609185,0.028768236293689808,-0.03410291559675073,0.45333333333333337
2020-01-31,-0.022843733968610013,0.0,-0.022843733968610013,-0.00343766952986271,-0.019406064438747303,0.0
2020-02-29,0.0060527169585944405,0.0006133333333333332,0.0054393836252611075,0.0015020464651516684,0.003937337160109439,0.6133333333333333
2020-03-31,0.0037370631332450614,0.0,0.0037370631332450614,-0.05305192196927737,0.05678898510252243,0.0
2020-04-30,0.02686834317942799,9.285714285714283e-05,0.026775486036570845,0.023911254925778405,0.0028642311107924395,0.09285714285714283
